Coordenadas Geográficas	Cidade, Estado, País	Specific photovoltaic power output
-32.026876°,-053.395343°	Rua Júlio de Castilhos, Herval, Rio Grande do Sul, Brazil	1498.0
-31.4°,-053.883333°	Rua 536, Hulha Negra, Rio Grande do Sul, Brazil	1529.4
-29.488889°,-050.105°	Rua Eugênio Bobsin, Itati, Rio Grande do Sul, Brazil	1342.1
-32.565695°,-053.377522°	Rua 27 de Janeiro, Jaguarão, Rio Grande do Sul, Brazil	1516.5
-30.810783°,-053.898036°	Rua Coronel Mesa, Lavras do Sul, Rio Grande do Sul, Brazil	1531.9
-29.2115°,-049.9355°	Estrada Nova Praia Grande, Mampituba, Rio Grande do Sul, Brazil	1363.2
-29.676717°,-050.205908°	Rua Padre Atanásio Orth, Maquiné, Rio Grande do Sul, Brazil	1383.8
-30.353334°,-051.584267°	Rua Daltro Filho, Mariana Pimentel, Rio Grande do Sul, Brazil	1456.5
-30.144168°,-052.046941°	Rua Rodolfo Souza, Minas do Leão, Rio Grande do Sul, Brazil	1503.2
-29.364981°,-049.932662°	Avenida João Francisco Becker, Morrinhos do Sul, Rio Grande do Sul, Brazil	1345.0
-31.595822°,-052.626319°	Avenida dos Pinhais, Morro Redondo, Rio Grande do Sul, Brazil	1453.6
-31.1°,-050.95°	Mostardas, Rio Grande do Sul, Brazil	1505.9
-31.866482°,-052.818024°	Avenida Bento Gonçalves, Pedro Osório, Rio Grande do Sul, Brazil	1478.6
-30.266667°,-050.516667°	unnamed road, Palmares do Sul, Rio Grande do Sul, Brazil	1491.5
-30.183333°,-052.366667°	Rua Rogerio Dias Trindade, Pantano Grande, Rio Grande do Sul, Brazil	1515.9
-31.732778°,-053.583889°	Rua Capistrano de Abreu, Pedras Altas, Rio Grande do Sul, Brazil	1536.7
-31.866482°,-052.818024°	Avenida Bento Gonçalves, Pedro Osório, Rio Grande do Sul, Brazil	1478.6
-31.746613°,-052.335393°	Rua Guilherme Wetzel, Sede, Rio Grande do Sul, Brazil	1479.8
-31.574361°,-053.385858°	Rua Pedro Regio, Pinheiro Machado, Rio Grande do Sul, Brazil	1522.4
-31.447778°,-053.103889°	Linha Farroupilha, Piratini, Rio Grande do Sul, Brazil	1497.4
-30.027679°,-051.22864°	Rua Siqueira Campos, Porto Alegre, Rio Grande do Sul, Brazil	1485.6
-32.035°,-052.098611°	Rua General Netto, Rio Grande, Rio Grande do Sul, Brazil	1526.7
-33.5338°,-053.3496°	Rua José Bernadino de Souza Castro, Santa Vitória do Palmar, Rio Grande do Sul, Brazil	1543.1
-29.833333°,-050.533333°	Rua Santino Ferulo tedesco, Santo Antônio da Patrulha, Rio Grande do Sul, Brazil	1464.8
-29.958889°,-051.721944°	Rua Barão do Rio Branco, São Jerônimo, Rio Grande do Sul, Brazil	1487.2
-32.015525°,-052.043127°	Rua Borges de Medeiros, São José do Norte, Rio Grande do Sul, Brazil	1530.3
-31.362908°,-051.978501°	Rua Marechal Deodoro, São Lourenço do Sul, Rio Grande do Sul, Brazil	1511.2
-30.613675°,-051.577221°	Rua Hermes Rodel, Sentinela do Sul, Rio Grande do Sul, Brazil	1451.2
-30.46°,-051.602778°	unnamed road, Sertão Santana, Rio Grande do Sul, Brazil	1432.7
-30.673941°,-051.396943°	Avenida Assis Brasil, Tapes, Rio Grande do Sul, Brazil	1507.8
-31.2876°,-051.0945°	Rua Abílio Vieira Paiva, Tavares, Rio Grande do Sul, Brazil	1532.5
-29.583333°,-050.066667°	Rua 13 de Abril, Terra de Areia, Rio Grande do Sul, Brazil	1419.2
-29.330234°,-049.74178°	Rua Cabo Braga, Torres, Rio Grande do Sul, Brazil	1467.2
-29.966667°,-050.133333°	Rua Sobradinho, Imbé, Rio Grande do Sul, Brazil	1489.8
-29.45°,-049.933333°	Estrada Para Oliveirinha, Três Cachoeiras, Rio Grande do Sul, Brazil	1385.5
-29.536944°,-050.063889°	Avenida dos Imigrantes, Três Forquilhas, Rio Grande do Sul, Brazil	1373.5
-31.41849°,-052.176196°	Avenida Arthur Lange, Turuçu, Rio Grande do Sul, Brazil	1473.5
-30.08116°,-051.023964°	Rua General Osório, Sede, Rio Grande do Sul, Brazil	1467.5
-29.800833°,-050.043889°	Rua Rio Apucae, Xangri-lá, Rio Grande do Sul, Brazil	1484.7
-28.274984°,-049.167989°	Rua Bernardo Locks, Braço do Norte, Santa Catarina, Brazil	1397.2
-28.35°,-049.3°	Rua Augusto Baggio, Orleans, Santa Catarina, Brazil	1362.2
-28.435761°,-049.184622°	Rua Teodoro Zabot, Pedras Grandes, Santa Catarina, Brazil	1373.0
-28.3258°,-049.1767°	Rua Padre Roher, São Ludgero, Santa Catarina, Brazil	1386.0
-28.476482°,-049.016995°	Rua Simeão Esmeraldino de Menezes, Tubarão, Santa Catarina, Brazil	1421.9
-28.9846°,-049.6426°	Rodovia Alfredo Gustavo Brillinger, Ermo, Santa Catarina, Brazil	1412.0
-29°,-049.766667°	Rua Irmãos Trevisol, Jacinto Machado, Santa Catarina, Brazil	1379.7
-23.998894°,-046.413544°	Avenida Ministro Marcos Freire, Praia Grande, São Paulo, Brazil	1291.3
-29.1361°,-049.7°	unnamed road, Santa Rosa do Sul, Santa Catarina, Brazil	1417.8
-29.1039°,-049.6289°	Avenida Quintino Manoel Domingos, Sombrio, Santa Catarina, Brazil	1449.1
-28.8317°,-049.844224°	Rua Pedro Zili, Timbé do Sul, Santa Catarina, Brazil	1333.7
-28.925833°,-049.678889°	Rua Ângelo Andrea Scarabelot, Turvo, Santa Catarina, Brazil	1398.4
-27.610556°,-051.022778°	Rua Valeriano Demeneck, Abdon Batista, Santa Catarina, Brazil	1469.6
-26.564722°,-052.328333°	Rua Marechal Cândido Rondon, Abelardo Luz, Santa Catarina, Brazil	1567.9
-27.410643°,-049.829403°	Avenida Oscar Zwicker, Agrolândia, Santa Catarina, Brazil	1343.9
-27.264654°,-049.711324°	Rua Hermenegildo Claudino, Agronômica, Santa Catarina, Brazil	1324.2
-26.9978°,-051.5558°	Avenida da Independência, Água Doce, Santa Catarina, Brazil	1517.7
-27.07218°,-052.987385°	Rua Joaçaba, Águas de Chapecó, Santa Catarina, Brazil	1530.5
-26.879942°,-052.862152°	Rua Dionísio Santi, Águas Frias, Santa Catarina, Brazil	1534.2
-27.695469°,-048.824165°	Avenida Coronel Antonio Lehmkuhl, Águas Mornas, Santa Catarina, Brazil	1321.3
-27.70044°,-049.333723°	Rua Claudiono Mariotti, Alfredo Wagner, Santa Catarina, Brazil	1373.2
-27.433333°,-051.866667°	unnamed road, Ipira, Santa Catarina, Brazil	1535.7
-26.536889°,-053.331465°	Rua Mato Grosso, Anchieta, Santa Catarina, Brazil	1550.3
-27.569374°,-048.984458°	Rua São Francisco, Angelina, Santa Catarina, Brazil	1300.9
-27.001944°,-051.405833°	Rua Germânica, Treze Tílias, Santa Catarina, Brazil	1519.3
-27.516944°,-048.767778°	Rua Daniel Petry, Antônio Carlos, Santa Catarina, Brazil	1329.3
-27.033333°,-049.416667°	Apiúna, Santa Catarina, Brazil	1308.6
-27.166667°,-052.116667°	Linha Progresso, Arabutã, Santa Catarina, Brazil	1508.5
-26.373806°,-048.718673°	Rua Crespim Lídio Corrêa, Araquari, Santa Catarina, Brazil	1277.8
-28.940577°,-049.477944°	Rua Maestro Serafim Silva, Araranguá, Santa Catarina, Brazil	1450.0
-26.866699°,-051.3167°	Macieira, Santa Catarina, Brazil	1451.9
-27.075258°,-052.459552°	Rua do Passo, Arvoredo, Santa Catarina, Brazil	1514.4
-26.960701°,-049.376435°	Rua Sete de Setembro, Ascurra, Santa Catarina, Brazil	1279.5
-27.42°,-049.7808°	Rua São José, Atalanta, Santa Catarina, Brazil	1355.1
-27.315328°,-049.636903°	Rua XV de Novembro, Aurora, Santa Catarina, Brazil	1311.0
-28.984223°,-049.413538°	Rua Forquilhinha, Balneário Arroio do Silva, Santa Catarina, Brazil	1472.0
-26.457222°,-048.611389°	Rua Ilhota, Balneário Barra do Sul, Santa Catarina, Brazil	1340.2
-26.99528°,-048.63556°	Rua 1970, Balneário Camboriú, Santa Catarina, Brazil	1373.2
-29.1569°,-049.5789°	Rua Vilson Manoel Valerim, Balneário Gaivota, Santa Catarina, Brazil	1470.3
-26.768889°,-053.637778°	Rua João Bataglin, Bandeirante, Santa Catarina, Brazil	1538.4
-26.653889°,-053.44°	Rua Itamarati, Barra Bonita, Santa Catarina, Brazil	1522.5
-26.615556°,-048.684722°	unnamed road, Barra Velha, Santa Catarina, Brazil	1349.9
-26.276595°,-050.463911°	unnamed road, Bela Vista do Toldo, Santa Catarina, Brazil	1357.2
-26.844248°,-053.579704°	Avenida Presidente Getúlio Vargas, Belmonte, Santa Catarina, Brazil	1550.0
-26.774143°,-049.370586°	Rua Jorge Lacerda, Benedito Novo, Santa Catarina, Brazil	1277.0
-27.494617°,-048.656127°	Rua Barão do Rio Branco, Biguaçu, Santa Catarina, Brazil	1372.7
-26.918942°,-049.066057°	Rua XV de Novembro, Blumenau, Santa Catarina, Brazil	1303.8
-27.744565°,-049.944792°	Rua João Assink, Bocaina do Sul, Santa Catarina, Brazil	1404.6
-28.333333°,-049.633333°	unnamed road, Bom Jardim da Serra, Santa Catarina, Brazil	1503.2
-26.69°,-053.0978°	Avenida Cristo Rei, Bom Jesus do Oeste, Santa Catarina, Brazil	1544.2
-27.79722°,-049.48917°	Rua 14 de Janeiro, Bom Retiro, Santa Catarina, Brazil	1397.9
-27.133301°,-048.533298°	Rua Pedro Jacinto Dias, Porto Belo, Santa Catarina, Brazil	1408.0
-27.196901°,-049.081461°	Rua Humberto Mazzolli, Botuverá, Santa Catarina, Brazil	1277.5
-27.35°,-049.9°	Estrada Ribeirão Concórdia, Braço do Trombudo, Santa Catarina, Brazil	1337.1
-27.305833°,-050.867778°	unnamed road, Brunópolis, Santa Catarina, Brazil	1467.7
-27.094925°,-048.914808°	Rua Felipe Schmidt, Brusque, Santa Catarina, Brazil	1299.3
-26.725°,-051.015°	Linha Horto Florestal, Caçador, Santa Catarina, Brazil	1440.5
-27.0719°,-053.2478°	Rua do Comércio, Caibi, Santa Catarina, Brazil	1530.5
-26.6°,-051.0969°	Rua Miguel Dzumman, Calmon, Santa Catarina, Brazil	1436.7
-26.986438°,-048.642907°	Rua Dinamarca, Balneário Camboriú, Santa Catarina, Brazil	1350.2
-26.192778°,-049.265833°	Rua Padre Luiz Gilg, Campo Alegre, Santa Catarina, Brazil	1348.1
-27.898514°,-050.757329°	Rua Major Teodósio Furtado, Campo Belo do Sul, Santa Catarina, Brazil	1496.2
-26.395318°,-053.079029°	Rua Padre Saporeti, Campo Erê, Santa Catarina, Brazil	1587.5
-27.401944°,-051.225°	Rua Coronel Pedro Carlos, Campos Novos, Santa Catarina, Brazil	1540.0
-27.264713°,-048.767803°	Rua Valentin Pereira de Melo, Canelinha, Santa Catarina, Brazil	1341.0
-26.1778°,-050.390486°	Rua Frei Menandro Kamps, Canoinhas, Santa Catarina, Brazil	1360.9
-27.936816°,-050.514679°	Rodovia Padre Edilson José da Silva, Capão Alto, Santa Catarina, Brazil	1465.8
-27.3439°,-051.6119°	Rua Aparicio Ribeiro, Capinzal, Santa Catarina, Brazil	1526.1
-28.466667°,-049.006944°	Rua Januário Corrêa Bittencourt, Tubarão, Santa Catarina, Brazil	1425.7
-27.070833°,-051.661944°	Rua Duque de Caxias, Catanduvas, Santa Catarina, Brazil	1536.9
-27.154729°,-052.883°	Rua Pedro Ivo Campos, Caxambu do Sul, Santa Catarina, Brazil	1549.1
-27.633433°,-051.337154°	Rua Aurélio Spagnoli, Celso Ramos, Santa Catarina, Brazil	1539.6
-27.797498°,-050.873266°	Avenida Orides Delfes Furtado, Cerro Negro, Santa Catarina, Brazil	1494.9
-27.5908°,-049.5539°	Avenida 29 de Novembro, Chapadão do Lageado, Santa Catarina, Brazil	1376.8
-27.095224°,-052.618168°	Rua Sete de Setembro - E, Chapecó, Santa Catarina, Brazil	1557.5
-27.233889°,-052.027778°	Rua Prefeito Domingos Machado de Lima, Concórdia, Santa Catarina, Brazil	1534.6
-26.986321°,-052.603811°	Rua Silvia Tozzo, Cordilheira Alta, Santa Catarina, Brazil	1551.4
-26.9333°,-052.783298°	unnamed road, Nova Itaberaba, Santa Catarina, Brazil	1530.7
-26.5°,-052.65°	unnamed road, Coronel Martins, Santa Catarina, Brazil	1557.5
-27.587277°,-050.365088°	Rua Juscelino Kubstchek de Oliveira, Correia Pinto, Santa Catarina, Brazil	1418.1
-26.426014°,-049.243449°	Rua Padre Vicente Schmitz, Corupá, Santa Catarina, Brazil	1268.2
-28.678297°,-049.370396°	Rua Cônego Miguel Giacca, Criciúma, Santa Catarina, Brazil	1380.4
-26.892682°,-053.171931°	Rua Moura Brasil, Cunha Porã, Santa Catarina, Brazil	1546.4
-26.9689°,-053.0928°	Avenida Quatro de Julho, Cunhataí, Santa Catarina, Brazil	1526.5
-27.3°,-050.575°	Rua Cornélio de Haro Varella, Curitibanos, Santa Catarina, Brazil	1458.3
-26.824182°,-053.502219°	Avenida Santa Helena, Descanso, Santa Catarina, Brazil	1535.5
-26.25°,-053.633333°	Rua Santa Terezinha, Barracão, Paraná, Brazil	1594.4
-26.986464°,-049.724336°	Rua Alberto Koglin, Dona Emma, Santa Catarina, Brazil	1310.3
-26.716458°,-049.485847°	Rua Duque de Caxias, Doutor Pedrinho, Santa Catarina, Brazil	1288.4
-28.9846°,-049.6426°	Rodovia Alfredo Gustavo Brillinger, Ermo, Santa Catarina, Brazil	1412.0
-27.283333°,-051.433333°	Rua da Gruta, Erval Velho, Santa Catarina, Brazil	1529.2
-26.854592°,-052.261436°	Travessa da Torre, Faxinal dos Guedes, Santa Catarina, Brazil	1578.6
-26.778338°,-053.350559°	SC-161, Flor do Sertão, Santa Catarina, Brazil	1524.5
-27.5935°,-048.55854°	Rua Hoepcke, Florianópolis, Santa Catarina, Brazil	1410.7
-26.648611°,-052.796389°	Rodovia Engenheiro Félix Malburg, Formosa do Sul, Santa Catarina, Brazil	1525.7
-27.026111°,-050.921389°	Rua Padre Biagio Simonetti, Fraiburgo, Santa Catarina, Brazil	1492.3
-27.173566°,-050.806865°	Rua Adolfo Soleti, Frei Rogério, Santa Catarina, Brazil	1467.8
-26.455°,-052.6858°	Rua Santos Dumont, Galvão, Santa Catarina, Brazil	1560.8
